standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_q_exp_abscissa,standEta_q_exp_cdf,standEta_ifn0_abscissa,standEta_ifn0_cdf,split
1.08981,0.825,0.948758,0.825,1.01761,0.825,0.771133,0.825,1.08764,0.825,1.0004,0.825,0.936965,0.825,1.0329,0.825,1.07882,0.825,0.919503,0.825,0.892267,0.825,All
1.11186,0.833333,0.955862,0.833333,1.02411,0.833333,0.772645,0.833333,1.09062,0.833333,1.05257,0.833333,0.948596,0.833333,1.04745,0.833333,1.09878,0.833333,0.952689,0.833333,0.911601,0.833333,All
1.1202,0.841667,0.9743,0.841667,1.02621,0.841667,0.819062,0.841667,1.09163,0.841667,1.10181,0.841667,0.969715,0.841667,1.10297,0.841667,1.11492,0.841667,0.991534,0.841667,0.912007,0.841667,All
1.28369,0.85,1.00114,0.85,1.0917,0.85,0.838076,0.85,1.09545,0.85,1.10588,0.85,0.974643,0.85,1.11849,0.85,1.17292,0.85,1.02348,0.85,0.920241,0.85,All
1.36216,0.858333,1.06189,0.858333,1.09731,0.858333,0.866406,0.858333,1.12837,0.858333,1.15375,0.858333,1.1365,0.858333,1.15434,0.858333,1.18368,0.858333,1.05753,0.858333,1.06604,0.858333,All
1.37943,0.866667,1.09638,0.866667,1.12056,0.866667,0.874599,0.866667,1.13227,0.866667,1.18293,0.866667,1.15164,0.866667,1.18244,0.866667,1.2253,0.866667,1.22582,0.866667,1.0754,0.866667,All
1.43618,0.875,1.10408,0.875,1.14183,0.875,0.899389,0.875,1.14666,0.875,1.20939,0.875,1.18129,0.875,1.20057,0.875,1.23052,0.875,1.32421,0.875,1.17503,0.875,All
1.51525,0.883333,1.11382,0.883333,1.14832,0.883333,0.939259,0.883333,1.15335,0.883333,1.31815,0.883333,1.20624,0.883333,1.23078,0.883333,1.30054,0.883333,1.3339,0.883333,1.20258,0.883333,All
1.5278,0.891667,1.1705,0.891667,1.17949,0.891667,0.962087,0.891667,1.15481,0.891667,1.32569,0.891667,1.2132,0.891667,1.31251,0.891667,1.45221,0.891667,1.51408,0.891667,1.24344,0.891667,All
1.52867,0.9,1.18302,0.9,1.18703,0.9,1.09202,0.9,1.1688,0.9,1.36249,0.9,1.22653,0.9,1.31771,0.9,1.45541,0.9,1.56779,0.9,1.42257,0.9,All
1.54618,0.908333,1.19117,0.908333,1.2307,0.908333,1.12643,0.908333,1.18281,0.908333,1.37393,0.908333,1.34694,0.908333,1.38817,0.908333,1.47817,0.908333,1.77044,0.908333,1.51425,0.908333,All
1.56149,0.916667,1.34624,0.916667,1.24882,0.916667,1.16088,0.916667,1.20745,0.916667,1.464,0.916667,1.36342,0.916667,1.432,0.916667,1.50375,0.916667,1.80765,0.916667,1.75321,0.916667,All
