ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
9,2.5,4.97854,0.199568,0.199568,6.71706,-2.21889,-2.21889,6.63528,-2.12753,-2.12753,4.97854,0.0579423,0.0579423,0,All,#4682B4,0
9,3,6.43303,0.593645,0.593645,7.5037,-0.144908,-0.144908,7.46932,-0.106493,-0.106493,6.43303,0.497477,0.497477,0,All,#4682B4,0
9,3.5,7.20021,0.587602,0.587602,7.90961,0.175839,0.175839,7.89153,0.196039,0.196039,7.20021,0.510269,0.510269,0,All,#4682B4,0
9,4,7.66091,0.632955,0.632955,8.1114,0.472143,0.472143,8.09999,0.48489,0.48489,7.66091,0.633981,0.633981,0,All,#4682B4,0
9,4.5,7.91751,0.518139,0.518139,8.15606,0.262488,0.262488,8.14753,0.272011,0.272011,7.91751,0.491238,0.491238,0,All,#4682B4,0
9,5,7.99601,0.684469,0.684469,8.06981,0.657146,0.657146,8.06217,0.665682,0.665682,7.99601,0.746821,0.746821,0,All,#4682B4,0
9,5.5,7.91496,-0.248864,-0.248864,7.88518,-0.721937,-0.721937,7.87717,-0.712983,-0.712983,7.91496,-0.359229,-0.359229,0,All,#4682B4,0
9,6,7.70819,0.641188,0.641188,7.63696,0.65474,0.65474,7.63049,0.66197,0.66197,7.70819,0.71066,0.71066,0,All,#4682B4,0
9,6.5,7.42142,0.626731,0.626731,7.35428,0.634282,0.634282,7.35086,0.638095,0.638095,7.42142,0.700443,0.700443,0,All,#4682B4,0
9,7,7.09625,0.681525,0.681525,7.05497,0.837959,0.837959,7.05602,0.836787,0.836787,7.09625,0.716497,0.716497,0,All,#4682B4,0
9,7.5,6.76028,0.137952,0.137952,6.74925,0.168423,0.168423,6.75576,0.161149,0.161149,6.76028,0.0560662,0.0560662,0,All,#4682B4,0
9,8,6.43148,0.487962,0.487962,6.44327,0.673389,0.673389,6.45571,0.659489,0.659489,6.43148,0.446187,0.446187,0,All,#4682B4,0
9,8.5,6.12263,0.179357,0.179357,6.13443,0.0844277,0.0844277,6.16,0.0558633,0.0558633,6.12263,0.0909389,0.0909389,0,All,#4682B4,0
9,9,5.84436,-0.167609,-0.167609,5.79538,-0.262974,-0.262974,5.86256,-0.338026,-0.338026,5.84436,-0.300538,-0.300538,0,All,#4682B4,0
9,9.5,5.60406,0.507424,0.507424,5.42326,0.973936,0.973936,5.54032,0.843158,0.843158,5.60406,0.524233,0.524233,0,All,#4682B4,0
9,10,5.37388,0.569528,0.569528,5.02748,1.26752,1.26752,5.19804,1.07697,1.07697,5.37388,0.585319,0.585319,0,All,#4682B4,0
9,10.5,5.14024,0.256316,0.256316,4.63296,0.887127,0.887127,4.85001,0.644637,0.644637,5.14024,0.143861,0.143861,0,All,#4682B4,0
9,11,4.91488,-0.296112,-0.296112,4.27275,-0.0377122,-0.0377122,4.51903,-0.312857,-0.312857,4.91488,-0.500579,-0.500579,0,All,#4682B4,0
9,11.5,4.7063,-0.0887938,-0.0887938,3.97623,0.487973,0.487973,4.23016,0.204277,0.204277,4.7063,-0.224839,-0.224839,0,All,#4682B4,0
9,12,4.51848,-0.766719,-0.862983,3.75299,-0.841269,-1.15658,4.00042,-1.11771,-1.92107,4.51848,-0.848681,-0.942536,1,All,#4682B4,0
9,12.5,4.35198,0.0780508,0.0780508,3.59146,0.717872,0.717872,3.83112,0.450113,0.450113,4.35198,-0.0228713,-0.0228713,0,All,#4682B4,0
