rep,ID,time,sim_y3,censored,split,color,filter
2,10,11,-2.03752,1,All,-1,0
2,10,12,-4.90377,1,All,-1,0
2,10,13,-0.987139,1,All,-1,0
2,10,14,-2.8274,1,All,-1,0
2,11,-1,-11.0413,1,All,-1,0
2,11,0,-6.35523,1,All,-1,0
2,11,2,1.14606,0,All,-1,0
2,11,3,2.47754,0,All,-1,0
2,11,4,2.28419,0,All,-1,0
2,11,5,1.17299,0,All,-1,0
2,11,6,1.91121,0,All,-1,0
2,11,7,1.05947,0,All,-1,0
2,11,8,2.94436,0,All,-1,0
2,11,9,1.0426,0,All,-1,0
2,11,10,0.785536,0,All,-1,0
2,11,11,-0.732854,1,All,-1,0
2,11,1,-15.9135,1,All,-1,0
2,11,12,-0.576147,1,All,-1,0
2,11,13,-2.16195,1,All,-1,0
2,11,14,0.636049,0,All,-1,0
2,12,-1,-6.21116,1,All,-1,0
2,12,0,-9.64734,1,All,-1,0
2,12,7,1.79205,0,All,-1,0
2,12,8,1.41916,0,All,-1,0
2,12,9,0.258163,0,All,-1,0
2,12,10,-0.495881,1,All,-1,0
2,12,11,-0.257995,0,All,-1,0
2,12,1,-8.14554,1,All,-1,0
2,12,2,-1.26485,1,All,-1,0
2,12,3,3.21325,0,All,-1,0
2,12,4,1.93168,0,All,-1,0
2,12,5,3.69436,0,All,-1,0
2,12,6,0.652243,0,All,-1,0
2,12,12,-1.66906,1,All,-1,0
2,12,13,-2.50403,1,All,-1,0
2,12,14,1.99684,0,All,-1,0
2,13,0,0.924738,0,All,-1,0
2,13,4,1.63289,0,All,-1,0
2,13,5,0.829838,0,All,-1,0
2,13,6,-0.154397,0,All,-1,0
2,13,7,1.11705,0,All,-1,0
2,13,8,1.68956,0,All,-1,0
2,13,9,1.0839,0,All,-1,0
2,13,10,-0.288563,0,All,-1,0
2,13,12,-1.99322,1,All,-1,0
2,13,13,-1.04547,1,All,-1,0
2,13,14,-3.22027,1,All,-1,0
2,13,-1,-5.82238,1,All,-1,0
2,13,1,3.87286,0,All,-1,0
2,13,2,-4.29071,1,All,-1,0
2,13,3,-9.13469,1,All,-1,0
2,13,11,-1.98644,1,All,-1,0
2,14,0,-11.7644,1,All,-1,0
2,14,1,-10.5577,1,All,-1,0
2,14,3,1.37769,0,All,-1,0
2,14,4,7.73356,0,All,-1,0
