ID,TIME,popPred_medianCOV,cens_popPred_medianCOV,popPred,cens_popPred,indivPred_mean,cens_indivPred_mean,indivPred_mode,cens_indivPred_mode,obsid
7,10.7331377990581,4.57265,0,4.57265,0,5.82302,0,6.12498,0,y1
7,10.84,4.50213,0,4.50213,0,5.73937,0,6.05159,0,y1
7,10.96,4.42571,0,4.42571,0,5.64298,0,5.96691,0,y1
7,10.9738663087248,4.41706,0,4.41706,0,5.63179,0,5.95698,0,y1
7,11,4.40086,0,4.40086,0,5.61048,0,5.93821,0,y1
7,11.08,4.35197,0,4.35197,0,5.54456,0,5.87993,0,y1
7,11.2,4.28073,0,4.28073,0,5.44273,0,5.78954,0,y1
7,11.2199940051392,4.26911,0,4.26911,0,5.42542,0,5.77412,0,y1
7,11.32,4.21201,0,4.21201,0,5.33894,0,5.69633,0,y1
7,11.44,4.14535,0,4.14535,0,5.23276,0,5.60308,0,y1
7,11.4716419841266,4.12818,0,4.12818,0,5.20433,0,5.57838,0,y1
7,11.5,4.11297,0,4.11297,0,5.17873,0,5.5561,0,y1
7,11.56,4.08133,0,4.08133,0,5.12408,0,5.50834,0,y1
7,11.68,4.0191,0,4.0191,0,5.01295,0,5.40938,0,y1
7,11.7289340575137,3.99387,0,3.99387,0,4.96707,0,5.36781,0,y1
7,11.8,3.95782,0,3.95782,0,4.89954,0,5.3068,0,y1
7,11.92,3.8989,0,3.8989,0,4.78381,0,5.20284,0,y1
7,11.9919968140444,3.86423,0,3.86423,0,4.71329,0,5.13956,0,y1
7,12,3.8604,0,3.8604,0,4.7054,0,5.13247,0,y1
7,12.04,3.84133,0,3.84133,0,4.66582,0,5.09679,0,y1
7,12.16,3.78499,0,3.78499,0,4.54562,0,4.98816,0,y1
7,12.2609596816623,3.73899,0,3.73899,0,4.44277,0,4.89515,0,y1
7,12.28,3.73052,0,3.73052,0,4.42319,0,4.87745,0,y1
7,12.4,3.67806,0,3.67806,0,4.29802,0,4.76451,0,y1
7,12.5,3.63461,0,3.63461,0,4.19191,0,4.66879,0,y1
7,12.52,3.62593,0,3.62593,0,4.17058,0,4.6495,0,y1
7,12.5359549911895,3.61901,0,3.61901,0,4.15353,0,4.63408,0,y1
7,12.64,3.57409,0,3.57409,0,4.04129,0,4.53263,0,y1
7,12.76,3.52444,0,3.52444,0,3.91065,0,4.41231,0,y1
7,12.817118041434,3.50088,0,3.50088,0,3.84718,0,4.35417,0,y1
7,12.88,3.47498,0,3.47498,0,3.7771,0,4.28979,0,y1
7,13,3.42609,0,3.42609,0,3.64203,0,4.16603,0,y1
7,13.1045871657572,3.38404,0,3.38404,0,3.52253,0,4.05769,0,y1
7,13.12,3.37788,0,3.37788,0,3.50479,0,4.04152,0,y1
7,13.24,3.33018,0,3.33018,0,3.36586,0,3.91354,0,y1
7,13.36,3.28295,0,3.28295,0,3.2244,0,3.7843,0,y1
7,13.3985038001348,3.26789,0,3.26789,0,3.17872,0,3.74214,0,y1
7,13.48,3.23602,0,3.23602,0,3.08121,0,3.65245,0,y1
7,13.5,3.22819,0,3.22819,0,3.05733,0,3.63038,0,y1
7,13.6,3.18895,0,3.18895,0,2.93673,1,3.51918,0,y1
7,13.6990125527433,3.1504,0,3.1504,0,2.81596,1,3.40773,0,y1
7,13.72,3.14222,0,3.14222,0,2.79014,1,3.38395,0,y1
7,13.84,3.09672,0,3.09672,0,2.64198,1,3.24694,0,y1
7,13.96,3.05232,0,3.05232,0,2.49157,1,3.10812,0,y1
7,14,3.03712,0,3.03712,0,2.44133,1,3.06112,0,y1
7,14.0062612751082,3.03471,0,3.03471,0,2.43346,1,3.05376,0,y1
7,14.08,3.00602,0,3.00602,0,2.3406,1,2.9677,1,y1
7,14.2,2.95969,1,2.95969,1,2.187,1,2.82569,1,y1
7,14.32,2.91463,1,2.91463,1,2.03232,1,2.68166,1,y1
7,14.3204011348476,2.91447,1,2.91447,1,2.0318,1,2.68118,1,y1
7,14.44,2.86974,1,2.86974,1,1.87549,1,2.53615,1,y1
7,14.5,2.84744,1,2.84744,1,1.7966,1,2.46279,1,y1
7,14.56,2.82474,1,2.82474,1,1.71735,1,2.38903,1,y1
7,14.6415866900469,2.79439,1,2.79439,1,1.609,1,2.28826,1,y1
7,14.68,2.78003,1,2.78003,1,1.55775,1,2.24052,1,y1
7,14.8,2.73508,1,2.73508,1,1.39665,1,2.09004,1,y1
7,14.92,2.69021,1,2.69021,1,1.23412,1,1.93852,1,y1
7,14.9699759653024,2.67151,1,2.67151,1,1.16602,1,1.87491,1,y1
7,15,2.66027,1,2.66027,1,1.12489,1,1.83652,1,y1
7,15.04,2.64529,1,2.64529,1,1.07005,1,1.78527,1,y1
7,15.16,2.60038,1,2.60038,1,0.904786,1,1.63047,1,y1
7,15.28,2.55537,1,2.55537,1,0.73819,1,1.47427,1,y1
7,15.30573052947,2.54571,1,2.54571,1,0.70228,1,1.44061,1,y1
7,15.4,2.51031,1,2.51031,1,0.570048,1,1.31675,1,y1
7,15.5,2.47291,1,2.47291,1,0.428822,1,1.18454,1,y1
7,15.52,2.46544,1,2.46544,1,0.400493,1,1.15796,1,y1
7,15.64,2.42043,1,2.42043,1,0.22966,1,0.99775,1,y1
7,15.6490155751574,2.41704,1,2.41704,1,0.216793,1,0.985724,1,y1
7,15.76,2.37525,1,2.37525,1,0.0576426,1,0.836666,1,y1
7,15.88,2.33007,1,2.33007,1,0,1,0.673952,1,y1
7,16,2.28496,1,2.28496,1,0,1,0.510225,1,y1
8,1,0,1,0,1,0,1,0,1,y1
8,1.02404791316671,0,1,0,1,0,1,0,1,y1
8,1.0486741284611,0,1,0,1,0,1,0,1,y1
8,1.07389255284251,0,1,0,1,0,1,0,1,y1
8,1.09971742770365,0,1,0,1,0,1,0,1,y1
8,1.12616333691299,0,1,0,1,0,1,0,1,y1
8,1.148,0,1,0,1,0,1,0,1,y1
8,1.15324521505061,0,1,0,1,0,1,0,1,y1
8,1.18097835584208,0,1,0,1,0,1,0,1,y1
8,1.20937842079513,0,1,0,1,0,1,0,1,y1
8,1.23846144804411,0,1,0,1,0,1,0,1,y1
8,1.268243861407,0,1,0,1,0,1,0,1,y1
8,1.296,0,1,0,1,0,1,0,1,y1
8,1.29874247966033,0,1,0,1,0,1,0,1,y1
8,1.32997452603713,0,1,0,1,0,1,0,1,y1
8,1.36195763795321,0,1,0,1,0,1,0,1,y1
8,1.39470987696745,0,1,0,1,0,1,0,1,y1
8,1.42824973898152,0,1,0,1,0,1,0,1,y1
8,1.444,0,1,0,1,0,1,0,1,y1
8,1.46259616468493,0,1,0,1,0,1,0,1,y1
8,1.49776855025124,0,1,0,1,0,1,0,1,y1
8,1.5,0,1,0,1,0,1,0,1,y1
8,1.53378675829152,0,1,0,1,0,1,0,1,y1
8,1.57067112907117,0,1,0,1,0,1,0,1,y1
8,1.592,0,1,0,1,0,1,0,1,y1
8,1.60844249199654,0,1,0,1,0,1,0,1,y1
8,1.64712217737772,0,1,0,1,0,1,0,1,y1
8,1.68673202847427,0,1,0,1,0,1,0,1,y1
8,1.72729441383054,0,1,0,1,0,1,0,1,y1
8,1.74,0,1,0,1,0,1,0,1,y1
8,1.76883223990768,0,1,0,1,0,1,0,1,y1
8,1.81136896401947,0,1,0,1,0,1,0,1,y1
8,1.85492860757909,0,1,0,1,0,1,0,1,y1
8,1.888,0,1,0,1,0,1,0,1,y1
8,1.8995357696646,0,1,0,1,0,1,0,1,y1
8,1.94521564091056,0,1,0,1,0,1,0,1,y1
8,1.99199401773371,0.901379,1,0.901379,1,0,1,0,1,y1
8,2,1.06928,1,1.06928,1,0,1,0,1,y1
8,2.036,1.72044,1,1.72044,1,0,1,0,1,y1
8,2.03989731690079,1.78286,1,1.78286,1,0,1,0,1,y1
8,2.08895259044663,2.46991,1,2.46991,1,0,1,0,1,y1
8,2.13918754095107,3.03216,0,3.03216,0,0,1,0,1,y1
8,2.184,3.45044,0,3.45044,0,0,1,0,1,y1
8,2.19063053718318,3.50709,0,3.50709,0,0,1,0,1,y1
8,2.24331063012171,3.91786,0,3.91786,0,0,1,0,1,y1
8,2.29725756936084,4.27861,0,4.27861,0,0,1,0,1,y1
8,2.332,4.4864,0,4.4864,0,0,1,0,1,y1
8,2.35250181991041,4.60076,0,4.60076,0,0,1,0,1,y1
8,2.40907457940015,4.89064,0,4.89064,0,0,1,0,1,y1
8,2.4670077956977,5.15367,0,5.15367,0,0,1,0.871893,1,y1
8,2.48,5.20857,0,5.20857,0,0,1,1.50242,1,y1
8,2.5,5.29048,0,5.29048,0,0,1,2.22174,1,y1
8,2.52633418495025,5.39377,0,5.39377,0,0.91599,1,2.91139,1,y1
8,2.58708725006003,5.61407,0,5.61407,0,3.00179,0,3.96475,0,y1
8,2.628,5.74985,0,5.74985,0,3.75869,0,4.45688,0,y1
8,2.64930129960419,5.8171,0,5.8171,0,4.06582,0,4.67198,0,y1
8,2.71301146720953,6.00579,0,6.00579,0,4.77622,0,5.20015,0,y1
8,2.776,6.17631,0,6.17631,0,5.28978,0,5.6061,0,y1
8,2.77825373139329,6.18214,0,6.18214,0,5.30584,0,5.61903,0,y1
8,2.84506493588093,6.34734,0,6.34734,0,5.725,0,5.96411,0,y1
8,2.91348281041266,6.50221,0,6.50221,0,6.06855,0,6.25645,0,y1
8,2.924,6.52484,0,6.52484,0,6.11578,0,6.29704,0,y1
8,2.98354599205017,6.64759,0,6.64759,0,6.36061,0,6.50906,0,y1
8,3,6.67998,0,6.67998,0,6.42224,0,6.5628,0,y1
8,3.05529404699589,6.78429,0,6.78429,0,6.6133,0,6.73044,0,y1
8,3.072,6.8145,0,6.8145,0,6.66662,0,6.77753,0,y1
8,3.12876749293683,6.91294,0,6.91294,0,6.83461,0,6.92675,0,y1
8,3.20400782192581,7.03407,0,7.03407,0,7.03045,0,7.10237,0,y1
8,3.22,7.05854,0,7.05854,0,7.06869,0,7.13686,0,y1
8,3.28105752381295,7.14808,0,7.14808,0,7.20522,0,7.26054,0,y1
8,3.3599601102406,7.25525,0,7.25525,0,7.36219,0,7.40367,0,y1
8,3.368,7.26566,0,7.26566,0,7.37709,0,7.41731,0,y1
8,3.44076013921529,7.35577,0,7.35577,0,7.50374,0,7.53353,0,y1
8,3.5,7.42394,0,7.42394,0,7.59691,0,7.61938,0,y1
8,3.516,7.44159,0,7.44159,0,7.62068,0,7.64133,0,y1
8,3.52350324027063,7.44976,0,7.44976,0,7.63163,0,7.65145,0,y1
8,3.60823614023529,7.53724,0,7.53724,0,7.74705,0,7.75847,0,y1
8,3.664,7.59022,0,7.59022,0,7.81535,0,7.82212,0,y1
8,3.69500668962067,7.61815,0,7.61815,0,7.85089,0,7.85537,0,y1
8,3.78386388964309,7.69239,0,7.69239,0,7.94383,0,7.94269,0,y1
8,3.812,7.71414,0,7.71414,0,7.97066,0,7.96801,0,y1
8,3.87485791989589,7.75979,0,7.75979,0,8.02634,0,8.0208,0,y1
8,3.96,7.81528,0,7.81528,0,8.09301,0,8.08447,0,y1
8,3.9680401666869,7.82015,0,7.82015,0,8.09881,0,8.09003,0,y1
8,4,7.83891,0,7.83891,0,8.12106,0,8.11145,0,y1
8,4.06346325205742,7.8733,0,7.8733,0,8.16153,0,8.15063,0,y1
8,4.108,7.89521,0,7.89521,0,8.18711,0,8.17559,0,y1
8,4.16118106349903,7.91903,0,7.91903,0,8.21479,0,8.2028,0,y1
8,4.256,7.95543,0,7.95543,0,8.25686,0,8.2447,0,y1
8,4.26124878438503,7.95722,0,7.95722,0,8.25893,0,8.24679,0,y1
8,4.36372292513368,7.98779,0,7.98779,0,8.29432,0,8.28278,0,y1
8,4.404,7.9976,0,7.9976,0,8.30575,0,8.29463,0,y1
8,4.4686613551209,8.01087,0,8.01087,0,8.32141,0,8.31113,0,y1
8,4.5,8.01623,0,8.01623,0,8.32787,0,8.31806,0,y1
8,4.552,8.02365,0,8.02365,0,8.33705,0,8.32811,0,y1
8,4.57612333536029,8.02647,0,8.02647,0,8.34069,0,8.33219,0,y1
8,4.68616955196921,8.03461,0,8.03461,0,8.35271,0,8.34641,0,y1
8,4.7,8.0351,0,8.0351,0,8.35372,0,8.34772,0,y1
8,4.79886215043946,8.03546,0,8.03546,0,8.35801,0,8.35427,0,y1
8,4.848,8.03374,0,8.03374,0,8.35838,0,8.35575,0,y1
8,4.91426477073226,8.02964,0,8.02964,0,8.35718,0,8.3561,0,y1
