rep,id,eta_beta_exp,eta_delta0,eta_p,eta_td,eta_b_exp,eta_h_0,eta_tc,eta_sigma,eta_phi_exp,eta_rho_exp,eta_alpha_exp
7,8,-0.357623,-0.633024,0.222002,0.373879,1.19987,-0.195634,-0.326817,-0.265256,0,-0.703578,-0.188674
8,8,0.245201,-0.580827,0.209122,0.484571,1.4768,-0.374356,0.0433364,0.0140497,0,-1.07966,-0.365794
9,8,0.0503813,-1.02815,-0.0225504,0.484529,1.26931,-0.195389,-2.77939,-0.735003,0,-1.47423,-0.645924
10,8,-0.188798,-0.290387,0.377585,0.399635,1.73955,-0.405183,0.182696,-0.0292574,0,-1.07304,0.204407
1,9,0.133153,-1.08552,-0.0530948,0.0456111,1.16338,-0.306171,-2.91942,-0.922599,0,-1.15593,0.00988161
2,9,0.483947,1.15146,-0.142541,-0.450141,-1.48836,0.295053,0.554319,-0.272779,0,0.638007,-0.60603
3,9,-0.362067,-1.44889,0.132636,0.00452815,1.03092,-0.293619,-2.4986,-0.471067,0,-0.614439,0.384356
4,9,-0.205437,0.482618,0.535416,-0.122164,0.390263,-0.213231,0.199504,0.269692,0,-0.430895,0.245949
5,9,0.489568,0.0212152,0.0857997,-0.173603,-0.470142,0.00767096,-0.375341,-0.488321,0,-0.179329,-0.171116
6,9,-0.000394718,-0.629204,0.0429057,0.0420719,1.29671,-0.34893,-1.40894,-0.321181,0,-0.836115,-0.29384
7,9,0.305757,0.997963,0.223835,-0.278788,-1.48074,0.275035,0.953243,-0.103396,0,0.430521,-0.169485
8,9,-0.454581,-1.32853,0.252359,-0.0268704,0.955879,-0.271283,-1.49409,-0.21637,0,-0.809227,0.134652
9,9,0.0422557,-0.36402,0.0426829,0.0242179,0.880415,-0.229868,-0.220112,-0.0927732,0,-0.366124,0.247446
10,9,0.399428,0.647151,-0.274246,-0.00271798,0.000795337,0.0204478,-0.0253066,-0.253264,0,0.331657,-0.081923
1,10,0.378613,0.134761,0.172467,-0.33223,0.0833672,0.0292003,0.0292576,-0.389086,0,-0.223136,-0.232948
2,10,0.197275,0.684431,0.629771,-0.183998,1.0581,-0.270009,1.32002,0.604892,0,-1.13778,-0.319252
3,10,-0.172952,0.871837,0.446041,-0.358943,0.174309,0.00785802,0.806344,0.441829,0,0.255447,-0.259913
4,10,0.262004,0.314205,0.621531,-0.158777,0.795352,-0.193329,0.617825,0.101112,0,-0.591958,0.154084
5,10,0.0185302,0.943393,0.480784,-0.227851,0.806981,-0.153649,0.934011,0.371354,0,-0.144782,-0.189236
6,10,-0.12974,0.0889866,0.440179,-0.238888,0.633926,-0.117358,0.967305,0.0638503,0,-0.439178,0.151577
7,10,-0.0897468,0.311749,0.636414,-0.208533,0.579859,-0.0993957,1.1687,0.272867,0,-0.474163,0.0255819
8,10,-0.00483536,0.220932,0.758239,-0.186494,0.886039,-0.197623,1.98926,0.371732,0,-1.09896,0.102195
9,10,-0.369447,0.402635,0.777902,-0.190445,1.04142,-0.189478,1.63475,0.696647,0,-0.611159,0.215461
