rep,ID,standEta_beta_exp_simulated,standEta_delta0_simulated,standEta_p_simulated,standEta_td_simulated,standEta_b_exp_simulated,standEta_h_0_simulated,standEta_tc_simulated,standEta_sigma_simulated,standEta_rho_exp_simulated,standEta_q_exp_simulated,standEta_ifn0_simulated,filter
1,9,0.274222,-0.326173,-0.324843,-0.110888,0.443925,-0.70076,-1.00157,-1.23484,-0.953449,-0.298647,-0.479009,0
2,9,0.10138,0.108809,-0.498504,-0.174719,0.386057,-0.326545,-0.18958,-0.565499,-0.384122,0.72989,-1.11016,0
3,9,0.0278049,-0.512,0.164202,-0.448743,0.615817,-0.895408,-0.748465,-0.0557093,-0.00894096,-0.636647,-0.428404,0
4,9,0.123608,-0.557395,-0.105653,-0.130314,0.586384,-0.851022,-0.636298,-0.479847,-0.840029,-0.282772,-0.306257,0
5,9,0.747404,0.633263,0.402253,-0.46478,-0.556393,0.428872,0.428074,0.824748,0.847578,-0.19659,-0.823021,0
6,9,0.293488,-0.397796,-0.328879,-0.295101,0.374499,-0.687413,-0.554967,-0.669626,-0.483122,-0.038121,-0.439744,0
7,9,0.871566,0.730537,0.436056,-0.412379,-0.664907,0.401558,0.72444,0.356049,0.402205,0.381037,-0.78426,0
8,9,-0.197259,0.0457946,0.475976,-0.461281,0.334579,-0.702972,-0.374593,-0.159916,0.0728084,-0.444828,-0.512468,0
9,9,0.545546,-0.342166,-0.776941,-0.332283,0.385596,-0.557133,-0.520403,-0.662141,-0.57244,0.209388,-0.606746,0
10,9,0.57152,0.483376,0.0902039,-0.348201,-0.0732005,-0.237131,0.561918,0.458857,0.20106,1.22089,-0.038217,0
1,10,0.579947,1.29276,1.29581,-0.698205,0.553704,-0.776889,0.148871,0.82428,0.798418,0.985548,-1.99553,0
2,10,0.758054,1.28677,1.06791,-0.707441,0.0216808,0.18809,0.0264977,0.534703,0.628779,0.85364,-0.82774,0
3,10,0.679744,0.976211,0.411968,-0.72764,0.350899,-0.18743,0.17232,0.647514,0.748421,1.25428,-2.20411,0
4,10,0.553503,0.971851,0.323757,-0.754053,0.123056,-0.00694139,0.200486,0.429457,0.708788,1.65649,-1.92873,0
5,10,0.806313,1.17607,1.0679,-0.676249,0.28506,-0.398246,0.102318,0.771239,0.740798,1.0334,-1.97251,0
6,10,0.472561,0.776664,0.550778,-0.812461,0.563895,-0.571604,0.255817,0.765182,0.498446,0.480143,-1.60951,0
7,10,0.0566299,0.435373,0.682673,-0.802274,0.390338,-0.346172,0.0466261,0.498321,0.375202,0.394491,-1.28542,0
8,10,0.548378,0.514078,0.844265,-0.789116,0.0259145,-0.00384336,0.198889,0.586208,0.601045,0.787918,-0.825834,0
9,10,0.4166,0.97663,1.10992,-0.811659,0.169513,-0.375198,0.361627,0.861714,0.802438,0.739863,-1.31554,0
10,10,0.808964,0.538051,0.538751,-0.90428,0.0139541,0.000348951,-0.164295,0.342149,0.696949,0.39858,-1.31236,0
1,11,-1.44302,-1.50727,0.783209,-0.214406,1.10579,-1.21176,-0.951575,0.449559,-1.02291,-0.865049,1.27027,0
2,11,-1.45173,-1.31037,1.11463,-0.151854,1.24421,-1.55493,-0.552766,0.851838,-0.80481,-1.47309,1.06485,0
3,11,-1.00198,-1.30097,0.525814,-0.0986474,1.15502,-1.42203,-0.696392,0.438987,-1.10372,-1.25872,0.451448,0
4,11,-1.15086,-1.27068,0.640637,-0.316345,1.26131,-1.79056,-0.557155,0.690931,-1.30578,-1.49588,1.99787,0
5,11,-0.871752,-0.746804,0.514683,-0.238606,0.957036,-1.18709,-0.450783,0.454526,-0.571064,-0.313394,0.0176943,0
6,11,-1.39848,-1.31688,1.57623,-0.188178,1.08492,-1.4143,-0.62633,0.748172,-0.804399,-0.680092,0.73084,0
7,11,-1.15214,-0.540906,0.453313,-0.140664,1.03613,-1.0393,-0.468286,0.380648,-0.583949,-0.244267,0.126617,0
8,11,-0.882468,-1.26618,0.96264,-0.302814,0.987161,-1.40399,-0.853353,0.416629,-1.1545,-0.325154,0.476801,0
9,11,-1.36634,-1.12323,1.41577,-0.324629,1.12866,-1.55314,-0.71753,0.54331,-0.926668,-0.541893,1.46619,0
10,11,-1.15883,-0.998509,1.11448,-0.277436,0.926942,-1.25632,-0.593698,0.530652,-0.786613,-1.39878,1.4579,0
1,12,0.250654,0.62091,-2.90101,1.56399,0.263314,0.61163,-0.961428,-2.42993,0.0139146,-0.648837,-1.32918,0
2,12,0.46957,0.505506,-2.77258,1.58037,0.113483,0.555937,-0.636158,-1.91109,0.290427,0.358231,-1.34281,0
3,12,0.580103,0.22559,-2.97084,1.68396,0.542516,-0.0348811,-0.883187,-2.39212,-0.575009,0.00760454,-0.715026,0
4,12,0.135697,0.49101,-1.97723,1.79227,0.487529,0.191393,-0.740354,-1.60037,-0.517253,-0.110017,-0.391395,0
