iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
55,-3.79247,0.193869,2.46115,0.451005,2.92232,0.197826,2.10313,0.092037,-2.30647,0.337128,0.625034,0.0760891,5.94527,0.48638,0.496458,0.21322,-1.77551,0.225154,-4.2751,0.015361,0.428297,0.24957
56,-3.79183,0.194075,2.45837,0.450903,2.92183,0.197483,2.10324,0.091872,-2.30625,0.338001,0.625003,0.0761267,5.94374,0.486998,0.496406,0.213192,-1.77571,0.225654,-4.27509,0.0153511,0.428141,0.248802
57,-3.79141,0.193943,2.45617,0.451004,2.92146,0.197108,2.10329,0.0918513,-2.30606,0.339496,0.624931,0.0762797,5.94335,0.487391,0.496442,0.213522,-1.77587,0.226184,-4.27513,0.0153704,0.428156,0.248083
58,-3.79094,0.193943,2.45344,0.450828,2.92104,0.196615,2.10355,0.0917606,-2.30611,0.340775,0.624941,0.0764773,5.94134,0.48728,0.496423,0.213978,-1.7763,0.226807,-4.27517,0.0153657,0.428189,0.247106
59,-3.79054,0.193593,2.45311,0.450879,2.9209,0.196048,2.1039,0.0918944,-2.30575,0.341786,0.624943,0.0767602,5.93786,0.488116,0.496488,0.214611,-1.77673,0.227693,-4.2752,0.0153668,0.428167,0.246904
60,-3.79053,0.193426,2.45168,0.451287,2.92085,0.195541,2.10395,0.091954,-2.30532,0.342705,0.624886,0.0769944,5.93412,0.488939,0.496543,0.214973,-1.7768,0.228968,-4.27522,0.0153561,0.428143,0.246489
61,-3.79053,0.193099,2.45218,0.452125,2.92079,0.195262,2.10387,0.0919059,-2.30482,0.3434,0.624818,0.0771679,5.93242,0.489217,0.496687,0.215651,-1.77666,0.229806,-4.27522,0.0153281,0.428087,0.246121
62,-3.79058,0.192592,2.45295,0.452898,2.92057,0.195211,2.10375,0.0918629,-2.30436,0.34349,0.624769,0.0772397,5.93181,0.488943,0.496583,0.215891,-1.77686,0.230316,-4.27523,0.0153044,0.428179,0.246423
63,-3.79057,0.192246,2.45381,0.45328,2.92033,0.195044,2.1038,0.0919124,-2.304,0.343846,0.624715,0.0772941,5.93242,0.487991,0.49637,0.215903,-1.77693,0.230729,-4.27525,0.0152795,0.428089,0.246938
64,-3.79046,0.19191,2.45385,0.453737,2.9201,0.195007,2.10393,0.0918718,-2.30354,0.344298,0.624624,0.0773543,5.93286,0.487504,0.496139,0.216053,-1.77719,0.231038,-4.27525,0.0152595,0.428125,0.247471
