beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_cdf,split
-3.23395,0.675,1.39902,0.675,3.05838,0.683333,2.17445,0.675,-1.31776,0.683333,0.786788,0.675,7.9409,0.683333,0.52403,0.675,-1.52208,0.675,-3.61923,0.675,All
-3.23014,0.683333,1.51104,0.683333,3.05953,0.691667,2.22318,0.683333,-1.30815,0.691667,0.788483,0.683333,8.00942,0.691667,0.524693,0.683333,-1.48442,0.683333,-3.61348,0.683333,All
-3.22866,0.691667,1.62577,0.691667,3.06002,0.7,2.24959,0.691667,-1.26432,0.7,0.795715,0.691667,8.13681,0.7,0.531227,0.691667,-1.40217,0.691667,-3.60963,0.691667,All
-3.20612,0.7,1.78128,0.7,3.06297,0.708333,2.25516,0.7,-1.26118,0.708333,0.813256,0.7,8.3084,0.708333,0.532916,0.7,-1.33971,0.7,-3.60764,0.7,All
-3.16641,0.708333,1.84894,0.708333,3.07772,0.716667,2.36966,0.708333,-1.23692,0.716667,0.816808,0.708333,8.33237,0.716667,0.54382,0.708333,-1.33046,0.708333,-3.60324,0.708333,All
-3.16453,0.716667,2.18931,0.716667,3.1067,0.725,2.44926,0.716667,-1.206,0.725,0.822042,0.716667,8.39751,0.725,0.555556,0.716667,-1.31874,0.716667,-3.58909,0.716667,All
-3.15729,0.725,2.1936,0.725,3.1203,0.733333,2.4519,0.725,-1.19088,0.733333,0.822635,0.725,8.43089,0.733333,0.568833,0.725,-1.31651,0.725,-3.58678,0.725,All
-3.14192,0.733333,2.23003,0.733333,3.12575,0.741667,2.45379,0.733333,-1.18937,0.741667,0.82534,0.733333,8.74254,0.741667,0.57314,0.733333,-1.31397,0.733333,-3.58557,0.733333,All
-3.13656,0.741667,2.23588,0.741667,3.12669,0.75,2.46184,0.741667,-1.17837,0.75,0.826381,0.741667,8.78798,0.75,0.58461,0.741667,-1.30599,0.741667,-3.575,0.741667,All
-3.13647,0.75,2.39545,0.75,3.15172,0.758333,2.48067,0.75,-1.14222,0.758333,0.831739,0.75,8.79368,0.758333,0.587798,0.75,-1.26779,0.75,-3.56985,0.75,All
-3.13217,0.758333,2.44099,0.758333,3.1628,0.766667,2.51587,0.758333,-1.12595,0.766667,0.833323,0.758333,8.82095,0.766667,0.588073,0.758333,-1.2289,0.758333,-3.56734,0.758333,All
-3.12535,0.766667,2.5298,0.766667,3.1829,0.775,2.586,0.766667,-1.12144,0.775,0.835493,0.766667,9.26887,0.775,0.588296,0.766667,-1.22653,0.766667,-3.54109,0.766667,All
-3.12193,0.775,2.81958,0.775,3.18479,0.783333,2.61599,0.775,-1.09972,0.783333,0.850786,0.775,9.33203,0.783333,0.59115,0.775,-1.2237,0.775,-3.52345,0.775,All
-3.11857,0.783333,2.87646,0.783333,3.18596,0.791667,2.61935,0.783333,-1.06745,0.791667,0.853532,0.783333,9.45486,0.791667,0.626165,0.783333,-1.21475,0.783333,-3.51702,0.783333,All
-3.09249,0.791667,2.87703,0.791667,3.18876,0.8,2.62226,0.791667,-1.05683,0.8,0.863496,0.791667,9.57487,0.8,0.631013,0.791667,-1.20479,0.791667,-3.50723,0.791667,All
-3.08709,0.8,2.90124,0.8,3.20541,0.808333,2.62931,0.8,-1.05584,0.808333,0.870406,0.8,10.1275,0.808333,0.701636,0.8,-1.15571,0.8,-3.50597,0.8,All
-3.05195,0.808333,2.94952,0.808333,3.2235,0.816667,2.65765,0.808333,-1.0349,0.816667,0.872174,0.808333,10.2637,0.816667,0.742772,0.808333,-1.13896,0.808333,-3.49952,0.808333,All
-3.04633,0.816667,2.9513,0.816667,3.24351,0.825,2.66179,0.816667,-1.02211,0.825,0.872396,0.816667,10.6223,0.825,0.752158,0.816667,-1.13654,0.816667,-3.47548,0.816667,All
-3.04616,0.825,3.00176,0.825,3.26176,0.833333,2.66491,0.825,-1.00429,0.833333,0.875732,0.825,10.714,0.833333,0.790241,0.825,-1.13326,0.825,-3.47398,0.825,All
-3.03033,0.833333,3.10261,0.833333,3.27108,0.841667,2.67607,0.833333,-0.994043,0.841667,0.888909,0.833333,10.7398,0.841667,0.799955,0.833333,-1.05992,0.833333,-3.46703,0.833333,All
-3.02542,0.841667,3.29718,0.841667,3.27813,0.85,2.69497,0.841667,-0.866513,0.85,0.894407,0.841667,10.8355,0.85,0.801259,0.841667,-1.05152,0.841667,-3.40117,0.841667,All
-3.01741,0.85,3.36129,0.85,3.27944,0.858333,2.72761,0.85,-0.82956,0.858333,0.898817,0.85,10.9858,0.858333,0.801548,0.85,-1.04728,0.85,-3.38923,0.85,All
-3.00746,0.858333,3.44237,0.858333,3.30935,0.866667,2.73172,0.858333,-0.808321,0.866667,0.899409,0.858333,11.0273,0.866667,0.81415,0.858333,-1.037,0.858333,-3.3723,0.858333,All
