beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_pdf,alpha_exp_cdf,split
-4.6048,0.108088,0.0253481,1.53206,0.208011,0.668629,1.60493,0.0746066,0.0157373,1.26746,0.519956,0.291388,-5.2609,0.0604912,0.0473317,0.423325,1.41568,0.107013,1.75305,0.0888634,0.160722,0.358881,1.66256,0.426051,-3.47119,0.148718,0.0673766,-4.50542,0.0389846,0.00385891,All
-4.57552,0.119836,0.0286833,1.64105,0.188806,0.69023,1.63473,0.0840865,0.0181001,1.33341,0.518946,0.32567,-5.20008,0.0643347,0.0511272,0.439796,1.57763,0.13168,1.86861,0.0877418,0.170926,0.380116,1.5894,0.460588,-3.43089,0.159136,0.0735795,-4.48394,0.0472269,0.00478237,All
-4.54623,0.13248,0.0323756,1.75003,0.171876,0.709866,1.66454,0.0944706,0.0207587,1.39935,0.51344,0.359733,-5.13925,0.0683275,0.0551611,0.456267,1.72582,0.158906,1.98416,0.0866729,0.181002,0.401351,1.5125,0.493527,-3.39058,0.169925,0.0802099,-4.46246,0.0569078,0.005898,All
-4.51695,0.14604,0.0364516,1.85902,0.156898,0.727766,1.69434,0.105801,0.0237409,1.4653,0.504185,0.393305,-5.07843,0.0724673,0.0594423,0.472738,1.85662,0.188435,2.09972,0.0856563,0.190959,0.422586,1.4339,0.524812,-3.35027,0.181061,0.0872823,-4.44098,0.0682088,0.00723863,All
-4.48766,0.160526,0.0409382,1.96801,0.143601,0.744127,1.72415,0.118114,0.0270753,1.53124,0.491883,0.426162,-5.0176,0.0767512,0.0639798,0.489208,1.96737,0.219956,2.21527,0.0846908,0.2008,0.443821,1.35519,0.554425,-3.30997,0.192521,0.0948101,-4.4195,0.0813197,0.00884108,All
-4.45838,0.175945,0.0458627,2.077,0.131756,0.75912,1.75396,0.131442,0.0307918,1.59718,0.47717,0.458126,-4.95678,0.0811755,0.0687821,0.505679,2.05634,0.253123,2.33083,0.0837751,0.210533,0.465056,1.27755,0.582376,-3.26966,0.204273,0.102806,-4.39802,0.0964354,0.0107463,All
-4.42909,0.192293,0.0512523,2.18598,0.121169,0.772892,1.78376,0.14581,0.034921,1.66313,0.460617,0.489055,-4.89595,0.0857356,0.0738576,0.52215,2.12274,0.28757,2.44638,0.0829074,0.220163,0.486291,1.20184,0.608697,-3.22936,0.216285,0.111281,-4.37654,0.113753,0.0129995,All
-4.39981,0.209558,0.0571342,2.29497,0.111679,0.785572,1.81357,0.161237,0.0394942,1.72907,0.442722,0.518846,-4.83513,0.0904261,0.0792145,0.53862,2.16657,0.322925,2.56194,0.082086,0.229696,0.507527,1.12868,0.633436,-3.18905,0.228519,0.120244,-4.35506,0.133468,0.0156501,All
-4.37052,0.22772,0.0635349,2.40396,0.103147,0.79727,1.84337,0.17773,0.044543,1.79502,0.423914,0.547425,-4.7743,0.0952409,0.0848606,0.555091,2.18852,0.35882,2.67749,0.081309,0.239136,0.528762,1.05849,0.656653,-3.14874,0.240936,0.129704,-4.33358,0.155768,0.0187516,All
-4.34124,0.246747,0.0704802,2.51295,0.0954547,0.808086,1.87318,0.19529,0.0500994,1.86096,0.404557,0.574744,-4.71347,0.100173,0.0908031,0.571562,2.18987,0.394905,2.79305,0.0805747,0.248489,0.549997,0.991544,0.678414,-3.10844,0.253491,0.139668,-4.3121,0.180827,0.0223614,All
