time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
16.91,-0.652529,16.91,0.0880023,16.91,-0.458027,2.17267,0.117678,2.60244,-0.00718211,2.17267,0.139095,All
17.28,-0.668209,17.28,0.079615,17.28,-0.467459,2.22566,0.140228,2.66591,0.00479645,2.22566,0.156324,All
17.3154,-0.66973,17.3154,0.0791273,17.3154,-0.468326,2.27865,0.162777,2.72938,-0.00856562,2.27865,0.173554,All
17.65,-0.684139,17.65,0.0761189,17.65,-0.477279,2.33164,0.164023,2.79286,-0.033238,2.33164,0.17143,All
18.02,-0.700102,18.02,0.07466,18.02,-0.488506,2.38464,0.126702,2.85633,-0.0452126,2.38464,0.134266,All
18.3753,-0.714869,18.3753,0.0681194,18.3753,-0.504109,2.43763,0.135182,2.91981,-0.0248417,2.43763,0.13876,All
18.39,-0.715481,18.39,0.0678484,18.39,-0.504756,2.49062,0.178975,2.98328,0.0206626,2.49062,0.174936,All
18.76,-0.729913,18.76,0.0503147,18.76,-0.527144,2.54361,0.21804,3.04675,0.0738973,2.54361,0.206629,All
19.13,-0.743216,19.13,0.0195111,19.13,-0.556403,2.5966,0.118646,3.11023,0.117956,2.5966,0.110093,All
19.5,-0.755172,19.5,-0.0274164,19.5,-0.593552,2.64959,0.160969,3.1737,0.136888,2.64959,0.149491,All
