rep,ID,time,sim_y3,censored,split,color,filter
3,14,8,2.7875,0,All,-1,0
3,14,9,0.825508,0,All,-1,0
3,14,10,-0.111423,0,All,-1,0
3,14,-1,0.527174,0,All,-1,0
3,14,2,-0.528061,1,All,-1,0
3,14,11,-0.348502,1,All,-1,0
3,14,12,0.427312,0,All,-1,0
3,14,13,-0.227987,0,All,-1,0
3,14,14,-2.12451,1,All,-1,0
3,15,1,0.468372,0,All,-1,0
3,15,5,1.48131,0,All,-1,0
3,15,6,1.67593,0,All,-1,0
3,15,7,1.81815,0,All,-1,0
3,15,8,0.824145,0,All,-1,0
3,15,9,2.42022,0,All,-1,0
3,15,10,0.998845,0,All,-1,0
3,15,12,0.537136,0,All,-1,0
3,15,13,-0.187929,0,All,-1,0
3,15,-1,-0.864828,1,All,-1,0
3,15,0,0.683661,0,All,-1,0
3,15,2,-1.52185,1,All,-1,0
3,15,3,-0.947736,1,All,-1,0
3,15,4,-0.213856,0,All,-1,0
3,15,11,0.503266,0,All,-1,0
3,15,14,-0.136866,0,All,-1,0
3,16,0,0.912096,0,All,-1,0
3,16,1,-0.927552,1,All,-1,0
3,16,3,-1.06812,1,All,-1,0
3,16,4,0.740708,0,All,-1,0
3,16,5,0.203561,0,All,-1,0
3,16,6,0.00940858,0,All,-1,0
3,16,7,0.155396,0,All,-1,0
3,16,8,0.939588,0,All,-1,0
3,16,9,1.2338,0,All,-1,0
3,16,10,0.188355,0,All,-1,0
3,16,11,-0.881112,1,All,-1,0
3,16,12,-1.44608,1,All,-1,0
3,16,13,-0.01747,0,All,-1,0
3,16,14,0.247239,0,All,-1,0
3,16,-1,0.26243,0,All,-1,0
3,16,2,0.0358608,0,All,-1,0
3,17,-1,-1.00924,1,All,-1,0
3,17,0,-1.01294,1,All,-1,0
3,17,1,-1.22887,1,All,-1,0
3,17,2,-1.07558,1,All,-1,0
3,17,3,-0.368682,1,All,-1,0
3,17,4,-0.188187,0,All,-1,0
3,17,5,0.451485,0,All,-1,0
3,17,6,1.42412,0,All,-1,0
3,17,7,0.475049,0,All,-1,0
3,17,8,1.11284,0,All,-1,0
3,17,9,1.6632,0,All,-1,0
3,17,10,1.20163,0,All,-1,0
3,17,11,-0.423816,1,All,-1,0
3,17,12,-0.902355,1,All,-1,0
3,17,13,-0.31679,1,All,-1,0
3,17,14,-0.931593,1,All,-1,0
3,18,-1,0.426435,0,All,-1,0
3,18,0,-0.316046,1,All,-1,0
3,18,1,-0.236406,0,All,-1,0
3,18,4,-1.10156,1,All,-1,0
3,18,5,0.559936,0,All,-1,0
3,18,6,1.04561,0,All,-1,0
3,18,7,0.745758,0,All,-1,0
3,18,8,0.988326,0,All,-1,0
3,18,9,1.54955,0,All,-1,0
3,18,10,0.95268,0,All,-1,0
3,18,2,-0.359141,1,All,-1,0
3,18,3,-0.673388,1,All,-1,0
3,18,11,1.1872,0,All,-1,0
3,18,12,0.232739,0,All,-1,0
3,18,13,0.178455,0,All,-1,0
3,18,14,-0.497536,1,All,-1,0
4,7,-1,-0.0581129,0,All,-1,0
4,7,1,-0.519909,1,All,-1,0
4,7,2,-0.391975,1,All,-1,0
4,7,4,0.791011,0,All,-1,0
4,7,5,1.84222,0,All,-1,0
4,7,6,1.98395,0,All,-1,0
4,7,7,1.69161,0,All,-1,0
4,7,8,0.973875,0,All,-1,0
4,7,9,1.01325,0,All,-1,0
4,7,10,0.450268,0,All,-1,0
4,7,11,0.754706,0,All,-1,0
4,7,12,-1.66667,1,All,-1,0
4,7,13,-0.990639,1,All,-1,0
4,7,0,-0.402427,1,All,-1,0
4,7,3,-0.276223,0,All,-1,0
4,7,14,-0.811834,1,All,-1,0
4,8,-1,-0.471822,1,All,-1,0
4,8,0,0.27431,0,All,-1,0
4,8,1,-0.972624,1,All,-1,0
4,8,4,0.790691,0,All,-1,0
4,8,5,2.07323,0,All,-1,0
4,8,6,1.47359,0,All,-1,0
