rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,7,12,6.05193,-1.38712,-1.38712,0,All,#4682B4,0
2,7,12,5.37859,-0.632026,-0.632026,0,All,#4682B4,0
3,7,12,5.71503,-1.00932,-1.00932,0,All,#4682B4,0
4,7,12,5.43935,-0.700155,-0.700155,0,All,#4682B4,0
5,7,12,5.24042,-0.477072,-0.477072,0,All,#4682B4,0
6,7,12,5.6611,-0.948832,-0.948832,0,All,#4682B4,0
7,7,12,5.57258,-0.849562,-0.849562,0,All,#4682B4,0
8,7,12,5.99236,-1.32032,-1.32032,0,All,#4682B4,0
9,7,12,5.30048,-0.544425,-0.544425,0,All,#4682B4,0
10,7,12,5.15944,-0.386266,-0.386266,0,All,#4682B4,0
1,7,12.5,5.61485,0.477893,0.477893,0,All,#4682B4,0
2,7,12.5,4.94407,1.23012,1.23012,0,All,#4682B4,0
3,7,12.5,5.32668,0.80105,0.80105,0,All,#4682B4,0
4,7,12.5,5.09459,1.06133,1.06133,0,All,#4682B4,0
5,7,12.5,4.67078,1.53659,1.53659,0,All,#4682B4,0
6,7,12.5,5.2242,0.915981,0.915981,0,All,#4682B4,0
7,7,12.5,5.21626,0.924883,0.924883,0,All,#4682B4,0
8,7,12.5,5.49315,0.61437,0.61437,0,All,#4682B4,0
9,7,12.5,5.02618,1.13804,1.13804,0,All,#4682B4,0
10,7,12.5,4.73081,1.46927,1.46927,0,All,#4682B4,0
1,7,13,5.01568,-1.97782,-1.97782,0,All,#4682B4,0
2,7,13,4.44183,-1.3343,-1.3343,0,All,#4682B4,0
3,7,13,4.8699,-1.81435,-1.81435,0,All,#4682B4,0
4,7,13,4.69367,-1.61671,-1.61671,0,All,#4682B4,0
5,7,13,4.02275,-0.864332,-0.864332,0,All,#4682B4,0
6,7,13,4.71697,-1.64284,-1.64284,0,All,#4682B4,0
7,7,13,4.79481,-1.73014,-1.73014,0,All,#4682B4,0
8,7,13,4.90936,-1.8586,-1.8586,0,All,#4682B4,0
9,7,13,4.72194,-1.64842,-1.64842,0,All,#4682B4,0
10,7,13,4.25705,-1.12709,-1.12709,0,All,#4682B4,0
1,7,13.5,4.27206,-1.42651,-2.03046,1,All,#4682B4,0
2,7,13.5,3.87298,-0.978981,-2.10401,1,All,#4682B4,0
3,7,13.5,4.34879,-1.51256,-1.52718,1,All,#4682B4,0
4,7,13.5,4.23259,-1.38225,-1.43125,1,All,#4682B4,0
5,7,13.5,3.30258,-0.339325,-0.340608,1,All,#4682B4,0
6,7,13.5,4.13261,-1.27014,-2.41903,1,All,#4682B4,0
7,7,13.5,4.30634,-1.46496,-3.32959,1,All,#4682B4,0
8,7,13.5,4.25144,-1.40339,-1.41625,1,All,#4682B4,0
9,7,13.5,4.38517,-1.55336,-2.14044,1,All,#4682B4,0
10,7,13.5,3.73295,-0.821942,-1.05719,1,All,#4682B4,0
1,7,14,3.41725,0.117466,0.117466,0,All,#4682B4,0
