time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
8.13855,6.68612,4.84649,5.72007,6.07592,6.34972,6.58026,6.79115,7.0049,7.21656,7.51907,7.96032,All
8.22088,6.65661,4.8087,5.67685,6.03754,6.3174,6.55018,6.75587,6.97909,7.19357,7.49608,7.93376,All
8.30321,6.62346,4.74559,5.6282,5.99886,6.28307,6.514,6.72779,6.95254,7.17282,7.47266,7.90586,All
8.38554,6.59354,4.68761,5.58443,5.95706,6.2413,6.48028,6.69578,6.92407,7.14424,7.44648,7.89024,All
8.46787,6.56417,4.62814,5.53448,5.9189,6.20413,6.44237,6.6642,6.89477,7.12492,7.42132,7.85755,All
8.5502,6.53147,4.58948,5.48149,5.88187,6.16895,6.40922,6.63467,6.86721,7.10314,7.39717,7.83736,All
8.63253,6.50204,4.54173,5.43232,5.8351,6.13232,6.37898,6.60404,6.83663,7.07883,7.37688,7.8221,All
8.71486,6.46798,4.48708,5.38736,5.79223,6.09894,6.34589,6.57465,6.808,7.05792,7.35302,7.80131,All
8.79719,6.43363,4.43446,5.33485,5.74395,6.05732,6.3147,6.54838,6.78064,7.03127,7.32528,7.77724,All
8.87952,6.40313,4.39247,5.27723,5.70529,6.01351,6.27695,6.5172,6.75171,7.00824,7.30085,7.75416,All
8.96185,6.36997,4.32665,5.22676,5.65714,5.97583,6.23933,6.48538,6.72423,6.98695,7.27986,7.74034,All
9.04418,6.33635,4.27528,5.17607,5.61396,5.93406,6.20566,6.45715,6.69697,6.96318,7.2593,7.72641,All
9.12651,6.29755,4.23959,5.12238,5.56897,5.89723,6.17349,6.42696,6.67518,6.94106,7.23786,7.70744,All
9.20884,6.26431,4.1938,5.07543,5.52205,5.84969,6.13833,6.38951,6.64281,6.91332,7.21156,7.68215,All
9.29116,6.22616,4.13193,5.02267,5.47374,5.80633,6.10391,6.35974,6.61691,6.88866,7.1963,7.66451,All
9.37349,6.19249,4.08366,4.96583,5.4274,5.76318,6.06851,6.3317,6.58833,6.86334,7.17366,7.64944,All
9.45582,6.15719,4.04497,4.90508,5.37298,5.72539,6.02764,6.29459,6.56098,6.83285,7.15368,7.63498,All
9.53815,6.12271,4.00402,4.84742,5.32312,5.6791,5.98973,6.2576,6.5342,6.8069,7.1324,7.61316,All
9.62048,6.08463,3.96039,4.79606,5.26661,5.63381,5.94828,6.2239,6.50645,6.78247,7.10843,7.59991,All
9.70281,6.047,3.90316,4.74768,5.21899,5.58576,5.90692,6.19485,6.47733,6.75481,7.08437,7.57813,All
