pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.00689989,0.734015,-1.46118,0.0734015,0.373498,0.734015,All
-0.00496047,0.736573,-1.46093,0.0736573,0.374173,0.736573,All
-0.00273507,0.73913,-1.46016,0.073913,0.38828,0.73913,All
0,0.741688,-1.46002,0.0741688,0.391984,0.741688,All
0,0.744246,-1.45975,0.0744246,0.416533,0.744246,All
0,0.746803,-1.45959,0.0746803,0.424142,0.746803,All
0.000947834,0.749361,-1.45617,0.0749361,0.432198,0.749361,All
0.0103279,0.751918,-1.456,0.0751918,0.433096,0.751918,All
0.0183027,0.754476,-1.45468,0.0754476,0.436672,0.754476,All
0.027315,0.757033,-1.45438,0.0757033,0.436942,0.757033,All
0.0497611,0.759591,-1.45323,0.0759591,0.447895,0.759591,All
0.0732537,0.762148,-1.44881,0.0762148,0.449553,0.762148,All
0.0805413,0.764706,-1.44652,0.0764706,0.451145,0.764706,All
0.138423,0.767263,-1.44629,0.0767263,0.457449,0.767263,All
0.15192,0.769821,-1.44606,0.0769821,0.47239,0.769821,All
0.22385,0.772379,-1.4456,0.0772379,0.476939,0.772379,All
0.234581,0.774936,-1.44516,0.0774936,0.509661,0.774936,All
0.245926,0.777494,-1.4443,0.0777494,0.520188,0.777494,All
0.260187,0.780051,-1.44395,0.0780051,0.52375,0.780051,All
0.302443,0.782609,-1.44303,0.0782609,0.536494,0.782609,All
0.321375,0.785166,-1.44299,0.0785166,0.548064,0.785166,All
0.324512,0.787724,-1.44275,0.0787724,0.562877,0.787724,All
0.327889,0.790281,-1.44247,0.0790281,0.577309,0.790281,All
0.330072,0.792839,-1.44029,0.0792839,0.599647,0.792839,All
0.332912,0.795396,-1.44019,0.0795396,0.614047,0.795396,All
0.337325,0.797954,-1.43795,0.0797954,0.6216,0.797954,All
0.348135,0.800512,-1.4371,0.0800512,0.623415,0.800512,All
0.360046,0.803069,-1.43458,0.0803069,0.631475,0.803069,All
0.361055,0.805627,-1.43457,0.0805627,0.646359,0.805627,All
0.382869,0.808184,-1.43343,0.0808184,0.67308,0.808184,All
0.404168,0.810742,-1.42868,0.0810742,0.686038,0.810742,All
0.407247,0.813299,-1.42567,0.0813299,0.720971,0.813299,All
0.472351,0.815857,-1.42545,0.0815857,0.731375,0.815857,All
0.498412,0.818414,-1.42482,0.0818414,0.753645,0.818414,All
0.50945,0.820972,-1.42457,0.0820972,0.765474,0.820972,All
0.531091,0.823529,-1.42131,0.0823529,0.769759,0.823529,All
0.532609,0.826087,-1.41599,0.0826087,0.805066,0.826087,All
0.570769,0.828645,-1.41574,0.0828645,0.812179,0.828645,All
0.586142,0.831202,-1.41413,0.0831202,0.829737,0.831202,All
0.586915,0.83376,-1.41382,0.083376,0.834151,0.83376,All
0.597522,0.836317,-1.41382,0.0836317,0.836178,0.836317,All
0.60542,0.838875,-1.40997,0.0838875,0.837101,0.838875,All
0.643633,0.841432,-1.40929,0.0841432,0.857413,0.841432,All
0.649941,0.84399,-1.40758,0.084399,0.873718,0.84399,All
0.672857,0.846547,-1.40663,0.0846547,0.876902,0.846547,All
0.708017,0.849105,-1.40536,0.0849105,0.880758,0.849105,All
0.717438,0.851662,-1.40522,0.0851662,0.894942,0.851662,All
0.727762,0.85422,-1.40225,0.085422,0.897218,0.85422,All
0.731824,0.856777,-1.40204,0.0856777,0.913513,0.856777,All
0.742057,0.859335,-1.40183,0.0859335,0.914085,0.859335,All
0.755387,0.861893,-1.39875,0.0861893,0.930664,0.861893,All
0.798425,0.86445,-1.3963,0.086445,0.969461,0.86445,All
0.808365,0.867008,-1.39169,0.0867008,0.970864,0.867008,All
0.82131,0.869565,-1.39031,0.0869565,0.985518,0.869565,All
0.827632,0.872123,-1.38764,0.0872123,1.00071,0.872123,All
0.844616,0.87468,-1.38749,0.087468,1.01305,0.87468,All
0.871867,0.877238,-1.38744,0.0877238,1.04356,0.877238,All
0.874579,0.879795,-1.38682,0.0879795,1.04636,0.879795,All
0.894234,0.882353,-1.38568,0.0882353,1.06416,0.882353,All
0.90759,0.88491,-1.38427,0.088491,1.07411,0.88491,All
0.95403,0.887468,-1.38373,0.0887468,1.08392,0.887468,All
0.958564,0.890026,-1.38265,0.0890026,1.11036,0.890026,All
0.979032,0.892583,-1.37866,0.0892583,1.12377,0.892583,All
1.00036,0.895141,-1.37746,0.0895141,1.14406,0.895141,All
1.03386,0.897698,-1.3766,0.0897698,1.14516,0.897698,All
1.03557,0.900256,-1.37527,0.0900256,1.1456,0.900256,All
1.05963,0.902813,-1.37492,0.0902813,1.14627,0.902813,All
1.07111,0.905371,-1.37153,0.0905371,1.1484,0.905371,All
1.10214,0.907928,-1.37137,0.0907928,1.14934,0.907928,All
1.12685,0.910486,-1.37132,0.0910486,1.15708,0.910486,All
1.14024,0.913043,-1.37074,0.0913043,1.16882,0.913043,All
1.16802,0.915601,-1.36577,0.0915601,1.19652,0.915601,All
1.17298,0.918159,-1.36488,0.0918159,1.20354,0.918159,All
1.17765,0.920716,-1.3625,0.0920716,1.21969,0.920716,All
1.20031,0.923274,-1.36044,0.0923274,1.23662,0.923274,All
1.20668,0.925831,-1.35957,0.0925831,1.24262,0.925831,All
1.23729,0.928389,-1.35707,0.0928389,1.30867,0.928389,All
1.25735,0.930946,-1.35669,0.0930946,1.35392,0.930946,All
1.26437,0.933504,-1.35483,0.0933504,1.40494,0.933504,All
1.31583,0.936061,-1.35281,0.0936061,1.41461,0.936061,All
1.39045,0.938619,-1.35274,0.0938619,1.46609,0.938619,All
1.49608,0.941176,-1.35191,0.0941176,1.50877,0.941176,All
1.51373,0.943734,-1.35103,0.0943734,1.5309,0.943734,All
1.53652,0.946292,-1.35083,0.0946292,1.53115,0.946292,All
1.61874,0.948849,-1.34957,0.0948849,1.53929,0.948849,All
1.6781,0.951407,-1.34953,0.0951407,1.53943,0.951407,All
1.67933,0.953964,-1.34904,0.0953964,1.54474,0.953964,All
1.71715,0.956522,-1.34289,0.0956522,1.56014,0.956522,All
1.72028,0.959079,-1.34111,0.0959079,1.57892,0.959079,All
1.77119,0.961637,-1.34098,0.0961637,1.61983,0.961637,All
1.81936,0.964194,-1.33994,0.0964194,1.63605,0.964194,All
1.8884,0.966752,-1.33831,0.0966752,1.64464,0.966752,All
2.01123,0.969309,-1.3368,0.0969309,1.70058,0.969309,All
2.08144,0.971867,-1.33675,0.0971867,1.74496,0.971867,All
