iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_alpha_exp,sd_alpha_exp
75,-3.52034,0.279434,1.92516,0.474363,2.74188,0.25894,1.88747,0.163684,-2.58477,0.516719,0.658703,0.115403,5.87283,0.69734,0.501416,0.234876,-2.12992,0.365103,-3.72288,0.243869
76,-3.52074,0.279688,1.92317,0.474899,2.74179,0.25892,1.88832,0.163589,-2.58265,0.516926,0.658431,0.115509,5.87226,0.697517,0.5018,0.235525,-2.12991,0.365482,-3.72328,0.243414
77,-3.52124,0.27995,1.92202,0.474809,2.74164,0.259135,1.88888,0.16335,-2.5805,0.517091,0.658133,0.115701,5.87231,0.697206,0.50228,0.235723,-2.12987,0.366048,-3.7234,0.243351
78,-3.52183,0.280229,1.91925,0.474352,2.74161,0.259217,1.88945,0.163301,-2.57865,0.517205,0.657869,0.115877,5.87166,0.696463,0.502518,0.235841,-2.13034,0.366534,-3.72332,0.243476
79,-3.52255,0.280398,1.91671,0.474264,2.74147,0.259564,1.8904,0.163166,-2.57664,0.517108,0.657597,0.116021,5.87113,0.696015,0.50266,0.235772,-2.13079,0.367246,-3.72306,0.243666
80,-3.52308,0.280491,1.91514,0.47432,2.74135,0.260205,1.8915,0.163309,-2.57427,0.517632,0.657279,0.11618,5.86918,0.695787,0.502761,0.235701,-2.13178,0.367985,-3.72252,0.243945
81,-3.52337,0.280594,1.91308,0.474174,2.7412,0.260555,1.89238,0.163341,-2.57209,0.517846,0.656989,0.116275,5.86638,0.695604,0.502855,0.23576,-2.13288,0.368605,-3.72215,0.243936
82,-3.52359,0.280385,1.91126,0.47439,2.74105,0.260567,1.89338,0.16341,-2.56991,0.517992,0.656644,0.116519,5.86327,0.695433,0.503122,0.235859,-2.13324,0.368832,-3.72139,0.244506
83,-3.52373,0.280457,1.90925,0.474311,2.74083,0.260336,1.89406,0.163502,-2.56755,0.518321,0.656319,0.116711,5.85981,0.695139,0.50338,0.235866,-2.13391,0.369153,-3.72109,0.244849
84,-3.5239,0.280737,1.90778,0.474165,2.74081,0.260386,1.89451,0.163494,-2.56565,0.518425,0.656036,0.116888,5.85704,0.6948,0.503641,0.235958,-2.1349,0.369372,-3.72057,0.245315
85,-3.52414,0.28091,1.90722,0.473994,2.74093,0.260323,1.89508,0.163363,-2.56377,0.518764,0.655753,0.117106,5.8549,0.694188,0.503811,0.236001,-2.13563,0.370063,-3.72007,0.24546
