beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,q_exp_abscissa,q_exp_cdf,ifn0_abscissa,ifn0_cdf,split
-3.44011,0.766667,2.65724,0.766667,3.29611,0.775,2.6382,0.766667,-1.27058,0.775,0.755401,0.766667,7.95753,0.766667,0.599155,0.775,-1.3321,0.766667,-4.25452,0.766667,0.622503,0.766667,All
-3.43814,0.775,2.71087,0.775,3.30744,0.783333,2.64545,0.775,-1.1773,0.783333,0.767393,0.775,8.1112,0.775,0.605489,0.783333,-1.3242,0.775,-4.25327,0.775,0.624983,0.775,All
-3.42456,0.783333,3.35166,0.783333,3.30996,0.791667,2.67875,0.783333,-1.15096,0.791667,0.771031,0.783333,8.37948,0.783333,0.611952,0.791667,-1.30284,0.783333,-4.25321,0.783333,0.628495,0.783333,All
-3.40674,0.791667,3.49055,0.791667,3.31878,0.8,2.67985,0.791667,-1.13638,0.8,0.772965,0.791667,8.41944,0.791667,0.617485,0.8,-1.29775,0.791667,-4.2512,0.791667,0.639693,0.791667,All
-3.37825,0.8,3.51032,0.8,3.32402,0.808333,2.68849,0.8,-1.12317,0.808333,0.773678,0.8,8.51773,0.8,0.621418,0.808333,-1.26438,0.8,-4.24716,0.8,0.643396,0.8,All
-3.37492,0.808333,3.51222,0.808333,3.33699,0.816667,2.69921,0.808333,-1.12211,0.816667,0.788472,0.808333,8.95457,0.808333,0.621764,0.816667,-1.2617,0.808333,-4.2457,0.808333,0.644506,0.808333,All
-3.3652,0.816667,4.22102,0.816667,3.36094,0.825,2.74245,0.816667,-1.12171,0.825,0.822545,0.816667,9.91026,0.816667,0.630815,0.825,-1.23158,0.816667,-4.24416,0.816667,0.658705,0.816667,All
-3.35866,0.825,4.54738,0.825,3.36952,0.833333,2.74846,0.825,-1.09309,0.833333,0.839716,0.825,10.19,0.825,0.639758,0.833333,-1.06608,0.825,-4.24356,0.825,0.663214,0.825,All
-3.33364,0.833333,4.57479,0.833333,3.39343,0.841667,2.75924,0.833333,-1.06972,0.841667,0.845556,0.833333,10.2897,0.833333,0.664281,0.841667,-0.919805,0.833333,-4.24204,0.833333,0.667368,0.833333,All
-3.32902,0.841667,4.65068,0.841667,3.40568,0.85,2.77868,0.841667,-1.06925,0.85,0.84639,0.841667,10.6082,0.841667,0.671748,0.85,-0.806186,0.841667,-4.24025,0.841667,0.671877,0.841667,All
